team,champ_odds,implied_odds
Brazil,400,0.19999999999999996
Argentina,550,0.15384615384615385
France,600,0.1428571428571429
England,800,0.11111111111111116
Spain,850,0.10526315789473684
Germany,1000,0.09090909090909094
Netherlands,1200,0.07692307692307687
Portugal,1400,0.06666666666666665
Belgium,1600,0.05882352941176472
Denmark,2800,0.03448275862068961
Croatia,5000,0.019607843137254943
Uruguay,5000,0.019607843137254943
Senegal,8000,0.012345679012345734
Serbia,8000,0.012345679012345734
Mexico,8000,0.012345679012345734
Switzerland,10000,0.00990099009900991
USA,15000,0.0066225165562914245
Poland,15000,0.0066225165562914245
Ecuador,20000,0.00497512437810943
Canada,20000,0.00497512437810943
Wales,20000,0.00497512437810943
Morocco,20000,0.00497512437810943
Cameroon,25000,0.003984063745019917
Japan,25000,0.003984063745019917
South Korea,25000,0.003984063745019917
Ghana,25000,0.003984063745019917
Qatar,25000,0.003984063745019917
Australia,35000,0.002849002849002802
Tunisia,50000,0.001996007984031989
Iran,50000,0.001996007984031989
Saudi Arabia,75000,0.0013315579227696217
Costa Rica,75000,0.0013315579227696217
